Id,Creation Time,training/val_acc_epoch (max),Tags,Val acc (last),Window (s) (last),hidden_size (last),Monitoring Time,metadata/occlusion (average),Epoch (last),metadata/lstm_layers (last),metadata/stride (average),metadata/seed (average),metadata/file_path,metadata/val_set_length (average),metadata/train_set_length (last),training/val_acc_epoch (variance)
BCMAC-345,2022-11-10 14:43:35,0.89415043592453,"[""To calculate std"",""LOSO""]",0.8832868933677673,3.0,128.0,175,0.0,39.0,1.0,1.0,43.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,14360.0,0.003973377660898425
BCMAC-344,2022-11-10 14:40:39,0.7961002588272095,"[""To calculate std"",""LOSO""]",0.7798050045967102,3.0,128.0,174,0.0,39.0,1.0,1.0,43.0,"['bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-34-16', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-52-7', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-15-6', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_13-56-0']",7180.0,14360.0,0.0016893535706792306
BCMAC-343,2022-11-10 14:37:46,0.8693593144416809,"[""To calculate std"",""LOSO""]",0.8140668272972107,3.0,128.0,172,0.0,39.0,1.0,1.0,43.0,"['bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-38-11', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_14-58-39', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-18-27', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-57-37']",7180.0,14360.0,0.001498080837134008
