Wall time,Step,Value
1664973718.6342945,5234,0.7938209176063538
1664973751.665421,10469,0.82008957862854
1664973785.2759285,15704,0.9310686588287354
1664973818.735338,20939,0.9987104535102844
1664973853.7830749,26174,0.9991343021392822
1664973887.5365849,31409,0.999026894569397
1664973921.1402745,36644,0.9991403222084045
1664973955.3846214,41879,0.9994925260543823
1664973990.1225107,47114,0.9995045065879822
1664974024.1355453,52349,0.9998447895050049
1664974057.548702,57584,0.9996298551559448
1664974090.9955328,62819,0.9994149208068848
1664974124.605161,68054,1.0
1664974159.2835715,73289,0.9995701313018799
1664974195.8474631,78524,0.9996179342269897
1664974229.7968738,83759,0.9997612237930298
1664974263.4715965,88994,0.9995462894439697
1664974297.9327502,94229,0.999868631362915
1664974333.7833538,99464,0.9995343089103699
1664974369.7269628,104699,0.9996775984764099
1664974403.981918,109934,0.9995104670524597
1664974440.5753028,115169,0.999868631362915
1664974474.1764307,120404,0.99982088804245
1664974511.0169578,125639,0.9994686841964722
1664974545.8958945,130874,0.9999104738235474
1664974580.9381921,136109,1.0
1664974614.8793967,141344,0.9996656775474548
1664974647.9598534,146579,0.9997552037239075
1664974682.0965996,151814,0.9996537566184998
1664974715.2984383,157049,0.9996955394744873
1664974752.2326465,162284,0.999868631362915
1664974786.537329,167519,0.9996775984764099
1664974819.5236456,172754,0.9999462962150574
1664974852.68526,177989,1.0
1664974885.6701002,183224,0.9994984865188599
1664974920.1030185,188459,0.9997134208679199
1664974953.3573065,193694,0.9997671842575073
1664974986.123953,198929,0.9996955394744873
1664975018.8275275,204164,0.9996656775474548
1664975052.9301927,209399,0.9994567036628723
1664975086.4324389,214634,0.99996417760849
1664975120.8309774,219869,0.9995164275169373
1664975155.0856392,225104,0.9995821118354797
1664975188.3285418,230339,1.0
1664975223.7736633,235574,0.9998507499694824
1664975258.085169,240809,0.9997313618659973
1664975293.829287,246044,0.999868631362915
1664975327.185141,251279,0.9996955394744873
1664975360.8936753,256514,0.999904453754425
1664975393.5574267,261749,0.9996597170829773
1664975427.9619293,266984,0.9997731447219849
1664975462.1854131,272219,0.9997910261154175
1664975497.358657,277454,0.9996417760848999
1664975530.5834634,282689,0.9999821186065674
1664975565.352471,287924,0.9998149275779724
