Wall time,Step,Value
1664975631.4332247,5268,0.8077107667922974
1664975659.8467786,10537,0.8689225912094116
1664975689.6836052,15806,0.8900916576385498
1664975718.4930706,21075,0.902381420135498
1664975748.737146,26344,0.9139001965522766
1664975778.6109445,31613,0.9227319955825806
1664975807.662536,36882,0.9287226796150208
1664975837.107059,42151,0.9342448115348816
1664975865.9998763,47420,0.9387941360473633
1664975894.7877839,52689,0.9418725371360779
1664975924.34587,57958,0.9464989900588989
1664975955.273607,63227,0.9517719745635986
1664975983.642998,68496,0.9545122981071472
1664976013.0304472,73765,0.9568907618522644
1664976043.1685414,79034,0.9590557217597961
1664976072.815913,84303,0.9604851603507996
1664976102.3600674,89572,0.9629941582679749
1664976131.6190882,94841,0.9641152024269104
1664976161.5969472,100110,0.9663809537887573
1664976190.5725272,105379,0.9670215845108032
1664976220.1374252,110648,0.9687416553497314
1664976250.9763017,115917,0.9699338674545288
1664976280.226223,121186,0.9702244997024536
1664976310.0252705,126455,0.9709718823432922
1664976339.1051893,131724,0.9722471237182617
1664976368.1570847,136993,0.9739019274711609
1664976396.9327629,142262,0.9740976691246033
1664976426.6847632,147531,0.9757347702980042
1664976456.422153,152800,0.9760491251945496
1664976486.22917,158069,0.9758830070495605
1664976515.5332806,163338,0.9761677384376526
1664976545.3188941,168607,0.9763931035995483
1664976574.5193033,173876,0.9779886603355408
1664976604.6629484,179145,0.9781072735786438
1664976633.743823,184414,0.978101372718811
1664976662.8109794,189683,0.9783030152320862
1664976692.723715,194952,0.9785521626472473
1664976721.8688567,200221,0.9786767363548279
1664976751.0878904,205490,0.9789080619812012
1664976780.5978577,210759,0.9785343408584595
1664976810.239624,216028,0.9801002144813538
1664976838.9765787,221297,0.9795249104499817
1664976868.667395,226566,0.9800290465354919
1664976898.7243333,231835,0.9794062972068787
1664976928.6163225,237104,0.980367124080658
1664976958.0658393,242373,0.9809247255325317
1664976987.7664428,247642,0.9806221723556519
1664977016.9176068,252911,0.9790088534355164
1664977046.282031,258180,0.9813398718833923
1664977075.61963,263449,0.9800468683242798
1664977104.8140795,268718,0.9816957712173462
1664977134.3014004,273987,0.9804620742797852
1664977162.6017869,279256,0.981108546257019
1664977191.407315,284525,0.9808238744735718
1664977221.042467,289794,0.9822295904159546
