Wall time,Step,Value
1664971855.5055308,5244,0.7921580076217651
1664971889.454815,10489,0.8004230856895447
1664971923.000248,15734,0.8945803642272949
1664971958.8605177,20979,0.9968774914741516
1664971990.6451414,26224,0.9975270628929138
1664972022.7336018,31469,0.9988141655921936
1664972054.1138473,36714,0.9982302188873291
1664972087.1109009,41959,0.9984506964683533
1664972118.9870677,47204,0.9982361793518066
1664972152.5871503,52449,0.9990167617797852
1664972184.5336154,57694,0.9988320469856262
1664972216.041643,62939,0.9988201260566711
1664972248.326474,68184,0.9989571571350098
1664972279.5423717,73429,0.9997556805610657
1664972314.524343,78674,0.9995650053024292
1664972346.8904586,83919,0.9992193579673767
1664972379.5111349,89164,0.9990108013153076
1664972413.677935,94409,0.9986890554428101
1664972447.3173923,99654,0.9986652135848999
1664972480.9012694,104899,0.9996365308761597
1664972512.9610417,110144,0.9985758066177368
1664972544.3899076,115389,0.9991121292114258
1664972577.8307605,120634,0.9987545609474182
1664972609.6134892,125879,0.9994041323661804
1664972642.1034474,131124,0.9993802905082703
1664972674.1669822,136369,0.9994457960128784
1664972707.6863325,141614,0.999606728553772
1664972741.57419,146859,0.9993028044700623
1664972774.8459446,152104,0.9992610812187195
1664972808.836117,157349,0.9992014765739441
1664972841.8477306,162594,0.9989214539527893
1664972874.1893854,167839,0.9995054006576538
1664972906.7444506,173084,0.9996246099472046
1664972939.6147058,178329,0.9993862509727478
1664972973.0946093,183574,0.9999284744262695
1664973006.1012738,188819,0.9995590448379517
1664973037.86504,194064,0.9994279146194458
1664973069.516113,199309,0.9995173215866089
1664973101.4380713,204554,0.9999761581420898
1664973133.2403028,209799,0.9989452958106995
1664973166.6231108,215044,0.9996543526649475
1664973197.7934299,220289,0.999618649482727
1664973229.8590102,225534,0.9988499283790588
1664973261.902187,230779,0.9996841549873352
1664973293.1863775,236024,0.9995173215866089
1664973324.8665833,241269,0.999147891998291
1664973356.3592458,246514,0.9995352029800415
1664973389.263622,251759,0.9995828866958618
1664973422.7968192,257004,0.9996126890182495
1664973456.3071716,262249,0.999344527721405
1664973487.734343,267494,0.999463677406311
1664973520.7521098,272739,0.9992253184318542
1664973553.4116724,277984,0.999541163444519
1664973585.1020756,283229,0.9996841549873352
1664973618.0370505,288474,0.9992968440055847
