Id,Creation Time,training/val_acc_epoch (max),Tags,Val acc (last),Window (s) (last),hidden_size (last),Monitoring Time,metadata/occlusion (average),Epoch (last),metadata/lstm_layers (last),metadata/seed (average),metadata/file_path,metadata/val_set_length (average),metadata/train_set_length (last),training/val_acc_epoch (variance),metadata/train_set_length (min),metadata/augmentation
BCMAC-1336,2022-12-04 13:54:17,0.8902506828308105,"[""v4""]",0.8385794162750244,3.0,128.0,377,0.0,39.0,1.0,9.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,43121.0,0.002425017343893554,43121.0,aggregate v3
BCMAC-1335,2022-12-04 13:47:55,0.8902506828308105,"[""v4""]",0.8777158856391907,3.0,128.0,380,0.0,39.0,1.0,8.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,43121.0,0.0011933282556919167,43121.0,aggregate v3
BCMAC-1334,2022-12-04 13:41:32,0.9009749293327332,"[""v4""]",0.8630919456481934,3.0,128.0,381,0.0,39.0,1.0,7.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,43121.0,0.002558664291407009,43121.0,aggregate v3
BCMAC-1333,2022-12-04 13:35:05,0.9023677110671997,"[""v4""]",0.8852367401123047,3.0,128.0,385,0.0,39.0,1.0,6.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,43121.0,0.0026660553855484713,43121.0,aggregate v3
BCMAC-1332,2022-12-04 13:28:44,0.8870473504066467,"[""v4""]",0.8438718914985657,3.0,128.0,380,0.0,39.0,1.0,5.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,43121.0,0.0038480540182336933,43121.0,aggregate v3
BCMAC-1331,2022-12-04 13:22:16,0.9140668511390686,"[""v4""]",0.879665732383728,3.0,128.0,386,0.0,39.0,1.0,4.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,43121.0,0.002255429185318736,43121.0,aggregate v3
BCMAC-1330,2022-12-04 13:15:53,0.8891364932060242,"[""v4""]",0.8618384599685669,3.0,128.0,381,0.0,39.0,1.0,3.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,43121.0,0.0021542247946234384,43121.0,aggregate v3
BCMAC-1329,2022-12-04 13:09:29,0.8988857865333557,"[""v4""]",0.8484679460525513,3.0,128.0,383,0.0,39.0,1.0,2.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,43121.0,0.002679752953191983,43121.0,aggregate v3
BCMAC-1327,2022-12-04 13:03:04,0.905013918876648,"[""v4""]",0.8798050284385681,3.0,128.0,383,0.0,39.0,1.0,1.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,43121.0,0.005188198672357469,43121.0,aggregate v3
BCMAC-1326,2022-12-04 12:56:42,0.8940111398696899,"[""v4""]",0.8654596209526062,3.0,128.0,381,0.0,39.0,1.0,0.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,43121.0,0.003725384596171999,43121.0,aggregate v3
