Id,Creation Time,training/val_acc_epoch (max),Tags,Val acc (last),Window (s) (last),hidden_size (last),Monitoring Time,metadata/occlusion (average),Epoch (last),metadata/lstm_layers (last),metadata/seed (average),metadata/file_path,metadata/val_set_length (average),metadata/train_set_length (last),training/val_acc_epoch (variance),metadata/train_set_length (min),metadata/augmentation
BCMAC-1286,2022-12-03 23:39:46,0.7977715730667114,"[""Aggregate, all ""]",0.7107242345809937,3.0,128.0,1261,0.0,39.0,1.0,9.0,"['bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-34-16', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-52-7', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-15-6', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_13-56-0']",7180.0,171690.0,6.487336457391635E-4,171690.0,temp cutout 0.2 fixed
BCMAC-1285,2022-12-03 23:18:42,0.7831476330757141,"[""Aggregate, all ""]",0.7073816061019897,3.0,128.0,1262,0.0,39.0,1.0,8.0,"['bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-34-16', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-52-7', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-15-6', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_13-56-0']",7180.0,171690.0,7.939978575853601E-4,171690.0,temp cutout 0.2 fixed
BCMAC-1283,2022-12-03 22:57:36,0.7976323366165161,"[""Aggregate, all ""]",0.7841225862503052,3.0,128.0,1264,0.0,39.0,1.0,7.0,"['bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-34-16', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-52-7', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-15-6', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_13-56-0']",7180.0,171690.0,9.289192992369521E-4,171690.0,temp cutout 0.2 fixed
BCMAC-1282,2022-12-03 22:36:24,0.7927576899528503,"[""Aggregate, all ""]",0.7428969144821167,3.0,128.0,1270,0.0,39.0,1.0,6.0,"['bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-34-16', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-52-7', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-15-6', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_13-56-0']",7180.0,171690.0,7.95036687807027E-4,171690.0,temp cutout 0.2 fixed
BCMAC-1281,2022-12-03 22:15:12,0.8107242584228516,"[""Aggregate, all ""]",0.6942896842956543,3.0,128.0,1270,0.0,39.0,1.0,5.0,"['bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-34-16', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-52-7', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-15-6', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_13-56-0']",7180.0,171690.0,0.0010424238200895885,171690.0,temp cutout 0.2 fixed
BCMAC-1280,2022-12-03 21:54:11,0.8012534976005554,"[""Aggregate, all ""]",0.7111420631408691,3.0,128.0,1259,0.0,39.0,1.0,4.0,"['bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-34-16', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-52-7', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-15-6', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_13-56-0']",7180.0,171690.0,5.741964422214529E-4,171690.0,temp cutout 0.2 fixed
BCMAC-1279,2022-12-03 21:33:20,0.7896935939788818,"[""Aggregate, all ""]",0.7480501532554626,3.0,128.0,1250,0.0,39.0,1.0,3.0,"['bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-34-16', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-52-7', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-15-6', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_13-56-0']",7180.0,171690.0,6.581978460689086E-4,171690.0,temp cutout 0.2 fixed
BCMAC-1278,2022-12-03 21:11:56,0.8004178404808044,"[""Aggregate, all ""]",0.7405292391777039,3.0,128.0,1282,0.0,39.0,1.0,2.0,"['bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-34-16', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-52-7', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-15-6', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_13-56-0']",7180.0,171690.0,8.719127669317928E-4,171690.0,temp cutout 0.2 fixed
BCMAC-1277,2022-12-03 20:51:07,0.7810584902763367,"[""Aggregate, all ""]",0.6962395310401917,3.0,128.0,1247,0.0,39.0,1.0,1.0,"['bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-34-16', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-52-7', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-15-6', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_13-56-0']",7180.0,171690.0,6.618384345642881E-4,171690.0,temp cutout 0.2 fixed
BCMAC-1276,2022-12-03 20:30:16,0.7839832901954651,"[""Aggregate, all ""]",0.7221448421478271,3.0,128.0,1248,0.0,39.0,1.0,0.0,"['bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-34-16', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-52-7', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-15-6', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_13-56-0']",7180.0,171690.0,5.49495847715864E-4,171690.0,temp cutout 0.2 fixed
BCMAC-1275,2022-12-03 20:09:16,0.8459609746932983,"[""Aggregate, all ""]",0.8299443125724792,3.0,128.0,1258,0.0,39.0,1.0,9.0,"['bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-38-11', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_14-58-39', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-18-27', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-57-37']",7180.0,172934.0,4.2721185096343816E-4,172934.0,temp cutout 0.2 fixed
BCMAC-1274,2022-12-03 19:48:12,0.8604456782341003,"[""Aggregate, all ""]",0.795682430267334,3.0,128.0,1263,0.0,39.0,1.0,8.0,"['bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-38-11', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_14-58-39', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-18-27', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-57-37']",7180.0,172934.0,5.029526958584718E-4,172934.0,temp cutout 0.2 fixed
BCMAC-1273,2022-12-03 19:27:03,0.8484679460525513,"[""Aggregate, all ""]",0.797493040561676,3.0,128.0,1266,0.0,39.0,1.0,7.0,"['bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-38-11', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_14-58-39', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-18-27', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-57-37']",7180.0,172934.0,8.612253331363284E-4,172934.0,temp cutout 0.2 fixed
BCMAC-1272,2022-12-03 19:06:03,0.8513927459716797,"[""Aggregate, all ""]",0.8174094557762146,3.0,128.0,1259,0.0,39.0,1.0,6.0,"['bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-38-11', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_14-58-39', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-18-27', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-57-37']",7180.0,172934.0,0.001076339476720456,172934.0,temp cutout 0.2 fixed
BCMAC-1271,2022-12-03 18:44:55,0.844986081123352,"[""Aggregate, all ""]",0.8274373412132263,3.0,128.0,1266,0.0,39.0,1.0,5.0,"['bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-38-11', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_14-58-39', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-18-27', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-57-37']",7180.0,172934.0,4.3595651677401647E-4,172934.0,temp cutout 0.2 fixed
BCMAC-1270,2022-12-03 18:23:47,0.8456824421882629,"[""Aggregate, all ""]",0.7724233865737915,3.0,128.0,1266,0.0,39.0,1.0,4.0,"['bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-38-11', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_14-58-39', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-18-27', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-57-37']",7180.0,172934.0,9.74521062329714E-4,172934.0,temp cutout 0.2 fixed
BCMAC-1269,2022-12-03 18:02:46,0.8534818887710571,"[""Aggregate, all ""]",0.8369081020355225,3.0,128.0,1258,0.0,39.0,1.0,3.0,"['bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-38-11', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_14-58-39', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-18-27', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-57-37']",7180.0,172934.0,5.477597080844277E-4,172934.0,temp cutout 0.2 fixed
BCMAC-1268,2022-12-03 17:41:45,0.8481894135475159,"[""Aggregate, all ""]",0.7682451009750366,3.0,128.0,1259,0.0,39.0,1.0,2.0,"['bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-38-11', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_14-58-39', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-18-27', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-57-37']",7180.0,172934.0,0.0010281353966175466,172934.0,temp cutout 0.2 fixed
BCMAC-1267,2022-12-03 17:20:40,0.8636490106582642,"[""Aggregate, all ""]",0.8050139546394348,3.0,128.0,1263,0.0,39.0,1.0,1.0,"['bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-38-11', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_14-58-39', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-18-27', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-57-37']",7180.0,172934.0,5.00136140391394E-4,172934.0,temp cutout 0.2 fixed
BCMAC-1266,2022-12-03 17:00:00,0.8512535095214844,"[""Aggregate, all ""]",0.7980501651763916,3.0,128.0,1239,0.0,39.0,1.0,0.0,"['bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-38-11', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_14-58-39', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-18-27', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-57-37']",7180.0,172934.0,6.10198845428922E-4,172934.0,temp cutout 0.2 fixed
