Id,Creation Time,training/val_acc_epoch (max),Tags,Val acc (last),Window (s) (last),hidden_size (last),Monitoring Time,metadata/occlusion (average),Epoch (last),metadata/lstm_layers (last),metadata/stride (average),metadata/seed (average),metadata/file_path,metadata/val_set_length (average),metadata/train_set_length (last),training/val_acc_epoch (variance),metadata/train_set_length (min)
BCMAC-760,2022-11-21 15:51:24,0.8116991519927979,"[""LOSO"",""data augmentation"",""speed""]",0.7461003065109253,3.0,128.0,277,0.0,39.0,1.0,1.0,8.0,"['bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-34-16', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-52-7', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-15-6', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_13-56-0']",7180.0,28844.0,0.0020410807445796486,28844.0
BCMAC-759,2022-11-21 15:46:48,0.8253481984138489,"[""LOSO"",""data augmentation"",""speed""]",0.8253481984138489,3.0,128.0,274,0.0,39.0,1.0,1.0,7.0,"['bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-34-16', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-52-7', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-15-6', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_13-56-0']",7180.0,28844.0,0.0015090101146879142,28844.0
BCMAC-758,2022-11-21 15:42:13,0.8257660269737244,"[""LOSO"",""data augmentation"",""speed""]",0.7739554047584534,3.0,128.0,274,0.0,39.0,1.0,1.0,6.0,"['bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-34-16', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-52-7', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-15-6', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_13-56-0']",7180.0,28844.0,0.0028773299970382914,28844.0
BCMAC-757,2022-11-21 15:37:37,0.8169916272163391,"[""LOSO"",""data augmentation"",""speed""]",0.7768802046775818,3.0,128.0,275,0.0,39.0,1.0,1.0,5.0,"['bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-34-16', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-52-7', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-15-6', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_13-56-0']",7180.0,28844.0,9.346439229720005E-4,28844.0
BCMAC-756,2022-11-21 15:32:59,0.8412256240844727,"[""LOSO"",""data augmentation"",""speed""]",0.7564066648483276,3.0,128.0,276,0.0,39.0,1.0,1.0,4.0,"['bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-34-16', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-52-7', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-15-6', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_13-56-0']",7180.0,28844.0,0.0013285894353156635,28844.0
BCMAC-755,2022-11-21 15:28:23,0.8260445594787598,"[""LOSO"",""data augmentation"",""speed""]",0.7871866226196289,3.0,128.0,275,0.0,39.0,1.0,1.0,3.0,"['bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-34-16', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-52-7', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-15-6', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_13-56-0']",7180.0,28844.0,0.0010609050203404635,28844.0
BCMAC-754,2022-11-21 15:23:48,0.793175458908081,"[""LOSO"",""data augmentation"",""speed""]",0.7820334434509277,3.0,128.0,274,0.0,39.0,1.0,1.0,2.0,"['bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-34-16', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-52-7', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-15-6', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_13-56-0']",7180.0,28844.0,0.0018169216845923763,28844.0
BCMAC-753,2022-11-21 15:19:14,0.8413649201393127,"[""LOSO"",""data augmentation"",""speed""]",0.8199164271354675,3.0,128.0,272,0.0,39.0,1.0,1.0,1.0,"['bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-34-16', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-52-7', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-15-6', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_13-56-0']",7180.0,28844.0,0.0011051673013227515,28844.0
BCMAC-752,2022-11-21 15:14:38,0.8065459728240967,"[""LOSO"",""data augmentation"",""speed""]",0.7364902496337891,3.0,128.0,275,0.0,39.0,1.0,1.0,0.0,"['bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-34-16', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-52-7', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-15-6', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_13-56-0']",7180.0,28844.0,0.0010990565609647618,28844.0
BCMAC-751,2022-11-21 15:09:59,0.8557103276252747,"[""LOSO"",""data augmentation"",""speed""]",0.8147632479667664,3.0,128.0,277,0.0,39.0,1.0,1.0,9.0,"['bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-38-11', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_14-58-39', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-18-27', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-57-37']",7180.0,28815.0,7.42619338889483E-4,28815.0
BCMAC-750,2022-11-21 15:05:22,0.8447075486183167,"[""LOSO"",""data augmentation"",""speed""]",0.8118384480476379,3.0,128.0,276,0.0,39.0,1.0,1.0,8.0,"['bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-38-11', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_14-58-39', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-18-27', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-57-37']",7180.0,28815.0,9.99624004055555E-4,28815.0
BCMAC-749,2022-11-21 15:00:43,0.8332868814468384,"[""LOSO"",""data augmentation"",""speed""]",0.822005569934845,3.0,128.0,277,0.0,39.0,1.0,1.0,7.0,"['bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-38-11', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_14-58-39', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-18-27', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-57-37']",7180.0,28815.0,7.284227152957179E-4,28815.0
BCMAC-748,2022-11-21 14:56:08,0.8472144603729248,"[""LOSO"",""data augmentation"",""speed""]",0.8217270374298096,3.0,128.0,274,0.0,39.0,1.0,1.0,6.0,"['bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-38-11', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_14-58-39', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-18-27', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-57-37']",7180.0,28815.0,0.0016409766063997465,28815.0
BCMAC-747,2022-11-21 14:51:33,0.8597493171691895,"[""LOSO"",""data augmentation"",""speed""]",0.7519498467445374,3.0,128.0,274,0.0,39.0,1.0,1.0,5.0,"['bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-38-11', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_14-58-39', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-18-27', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-57-37']",7180.0,28815.0,0.0014825497335926308,28815.0
BCMAC-746,2022-11-21 14:46:57,0.85584956407547,"[""LOSO"",""data augmentation"",""speed""]",0.7566852569580078,3.0,128.0,274,0.0,39.0,1.0,1.0,4.0,"['bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-38-11', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_14-58-39', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-18-27', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-57-37']",7180.0,28815.0,0.0013848311012687909,28815.0
BCMAC-745,2022-11-21 14:42:20,0.847493052482605,"[""LOSO"",""data augmentation"",""speed""]",0.8118384480476379,3.0,128.0,276,0.0,39.0,1.0,1.0,3.0,"['bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-38-11', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_14-58-39', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-18-27', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-57-37']",7180.0,28815.0,6.395049653257878E-4,28815.0
BCMAC-744,2022-11-21 14:37:45,0.8561281561851501,"[""LOSO"",""data augmentation"",""speed""]",0.7313370704650879,3.0,128.0,274,0.0,39.0,1.0,1.0,2.0,"['bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-38-11', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_14-58-39', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-18-27', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-57-37']",7180.0,28815.0,0.0012649660429762122,28815.0
BCMAC-743,2022-11-21 14:33:05,0.8427576422691345,"[""LOSO"",""data augmentation"",""speed""]",0.822841227054596,3.0,128.0,279,0.0,39.0,1.0,1.0,1.0,"['bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-38-11', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_14-58-39', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-18-27', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-57-37']",7180.0,28815.0,0.001315492611204494,28815.0
BCMAC-742,2022-11-21 14:28:26,0.8548746705055237,"[""LOSO"",""data augmentation"",""speed""]",0.8142061233520508,3.0,128.0,276,0.0,39.0,1.0,1.0,0.0,"['bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-38-11', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_14-58-39', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-18-27', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-57-37']",7180.0,28815.0,7.993593285924305E-4,28815.0
